artist_id,createtime,count(*),gender,"count(distinct user_id)"
023406156015ef87f99521f3b343f71f,2015-03-01,482,3,206
025943df23acf5d3863b35fa6e0d79ec,2015-03-01,101,3,58
03c6699ea836decbc5c8fc2dbae7bd3b,2015-03-01,455,1,155
099cd99056bf92e5f0e384465890a804,2015-03-01,865,2,400
0c80008b0a28d356026f4b1097041689,2015-03-01,74,1,47
1339f978614ff19cd48f07e5420556d4,2015-03-01,58,2,24
1731019fbaa825714d5f8e61ad1bb7ff,2015-03-01,119,1,61
25739ad1c56a511fcac86018ac4e49bb,2015-03-01,30,1,15
28e32be6ba67e0c6fdfdff80ce07dfd4,2015-03-01,47,3,25
2b7fedeea967becd9408b896de8ff903,2015-03-01,7,1,5
2e14d32266ee6b4678595f8f50c369ac,2015-03-01,1388,1,663
2ec1450a1389d4e3fc2a9a76c9378bb3,2015-03-01,677,2,216
33fd0a2cfcfd24e114707bba71ca1de9,2015-03-01,54,1,43
34bc4bc49a725f2686a5cf9c89985798,2015-03-01,104,2,42
3964ee41d4e2ade1957a9135afe1b8dc,2015-03-01,372,2,147
3e395c6b799d3d8cb7cd501b4503b536,2015-03-01,664,2,347
40bbb0da5570702dd6ff3af5e9e3aea6,2015-03-01,652,1,343
445a257964b9689f115a69e8cc5dcb75,2015-03-01,70,1,26
4b8eb68442432c242e9242be040bacf9,2015-03-01,1358,3,537
4ee3f9c90101073c99d5440b41f07daa,2015-03-01,34,2,12
4f3f68292e50f39cd8142733512c07d6,2015-03-01,365,1,130
53dd7de874e0999634c28cdd94d21257,2015-03-01,64,2,38
5e2ef5473cbbdb335f6d51dc57845437,2015-03-01,353,2,187
61dfd882204789d7d0f70fee2b901cef,2015-03-01,122,3,67
6a493121e53d83f9e119b02942d7c8fe,2015-03-01,264,2,148
6bb4c3bbdb6f5a96d643320c6b6005f5,2015-03-01,396,2,231
6f462b173b2d6d20a2c9fb1ec0fd2dda,2015-03-01,257,2,181
7e0db58c13d033dafe5f5e1e70ff7eb4,2015-03-01,637,1,287
82fda1f850a9fe22e41b5c8dadaff4ac,2015-03-01,148,3,66
8da51d03b8b8717431e8b902856fb45e,2015-03-01,528,2,266
8f29cbc2a555034643d66f9e83dd7a7a,2015-03-01,81,3,35
8fb3cef29f2c266af4c9ecef3b780e97,2015-03-01,584,2,272
97de6333157f35467dff271d7afb0a23,2015-03-01,279,3,155
9e58afbf3fea116b0050bf56bfb4442e,2015-03-01,252,2,120
9f69ffd8852196e02cfa19b5cd9bc432,2015-03-01,56,3,32
ac43c6ce2f9df4adfbb05edd97cecbcc,2015-03-01,535,2,313
b6a175a48743caed6d035444c069ab64,2015-03-01,85,2,59
b7522cc91cf57ada15de2298bfd6a3ee,2015-03-01,279,2,178
be0c7a23c2aa9afb45163995b9ec938c,2015-03-01,254,1,136
bf21d16799b240d6e445fa30472bd50b,2015-03-01,2,2,2
c026b84e8f23a7741d9b670e3d8973f0,2015-03-01,280,1,132
c5eac1d455675dfbc99f6c70f7b3971f,2015-03-01,26,2,16
c5f0170f87a2fbb17bf65dc858c745e2,2015-03-01,1651,3,642
ca6db6d4f02b7b946c57fc389e67dd7e,2015-03-01,215,1,81
d773376e46311393cd89994bf9a93043,2015-03-01,672,3,322
e087f8842fe66efa5ccee42ff791e0ca,2015-03-01,58,1,20
e6e2fff03cc32ee9777de2c2ed5bac30,2015-03-01,100,2,58
f5a5373f30de984e9142a206f94a2f46,2015-03-01,94,2,57
f6e0f05fde7637afb8f8bc6bda74ca24,2015-03-01,156,1,91
ffd47cf9cb66d226575336f0fa42ae25,2015-03-01,179,1,32
023406156015ef87f99521f3b343f71f,2015-03-02,449,3,205
025943df23acf5d3863b35fa6e0d79ec,2015-03-02,71,3,43
03c6699ea836decbc5c8fc2dbae7bd3b,2015-03-02,366,1,115
099cd99056bf92e5f0e384465890a804,2015-03-02,864,2,435
0c80008b0a28d356026f4b1097041689,2015-03-02,63,1,40
1339f978614ff19cd48f07e5420556d4,2015-03-02,37,2,23
1731019fbaa825714d5f8e61ad1bb7ff,2015-03-02,130,1,68
25739ad1c56a511fcac86018ac4e49bb,2015-03-02,34,1,24
28e32be6ba67e0c6fdfdff80ce07dfd4,2015-03-02,47,3,31
2b7fedeea967becd9408b896de8ff903,2015-03-02,4,1,3
2e14d32266ee6b4678595f8f50c369ac,2015-03-02,1415,1,668
2ec1450a1389d4e3fc2a9a76c9378bb3,2015-03-02,536,2,195
33fd0a2cfcfd24e114707bba71ca1de9,2015-03-02,40,1,29
34bc4bc49a725f2686a5cf9c89985798,2015-03-02,273,2,62
3964ee41d4e2ade1957a9135afe1b8dc,2015-03-02,246,2,128
3e395c6b799d3d8cb7cd501b4503b536,2015-03-02,589,2,336
40bbb0da5570702dd6ff3af5e9e3aea6,2015-03-02,641,1,360
445a257964b9689f115a69e8cc5dcb75,2015-03-02,66,1,30
4b8eb68442432c242e9242be040bacf9,2015-03-02,1127,3,537
4ee3f9c90101073c99d5440b41f07daa,2015-03-02,62,2,25
4f3f68292e50f39cd8142733512c07d6,2015-03-02,226,1,131
53dd7de874e0999634c28cdd94d21257,2015-03-02,83,2,48
